x-axis,1,2,F1
second,Volt,Ampere,Watt
+222.27500E-03,+410.30151682E+00,-925.87939E-03,-395.41625977E+00
+222.30000E-03,+418.09046173E+00,-924.62311E-03,-378.93676758E+00
+222.32500E-03,+421.85930605E+00,-903.26632E-03,-386.38305664E+00
+222.35000E-03,+426.13066292E+00,-884.42210E-03,-369.59838867E+00
+222.37500E-03,+426.13066292E+00,-884.42210E-03,-376.67846680E+00
+222.40000E-03,+431.90955753E+00,-884.42210E-03,-376.67846680E+00
+222.42500E-03,+430.40201979E+00,-844.22110E-03,-359.58862305E+00
+222.45000E-03,+434.17086411E+00,-835.42713E-03,-366.36352539E+00
+222.47500E-03,+442.21106529E+00,-804.02009E-03,-366.36352539E+00
+222.50000E-03,+444.47237187E+00,-775.12562E-03,-355.37719727E+00
+222.52500E-03,+445.97990961E+00,-763.81909E-03,-355.37719727E+00
+222.55000E-03,+450.25126648E+00,-763.81909E-03,-337.61596680E+00
+222.57500E-03,+450.50252276E+00,-763.81909E-03,-343.71948242E+00
+222.60000E-03,+458.29146767E+00,-723.61808E-03,-330.73425291E+00
+222.62500E-03,+458.29146767E+00,-723.61808E-03,-331.45141602E+00
+222.65000E-03,+464.57287484E+00,-723.61808E-03,-331.45141602E+00
+222.67500E-03,+466.08041258E+00,-722.36180E-03,-330.87539675E+00
+222.70000E-03,+466.33166885E+00,-683.41708E-03,-316.96701050E+00
+222.72500E-03,+474.37187004E+00,-683.41708E-03,-318.51196289E+00
+222.75000E-03,+472.61307602E+00,-643.21607E-03,-299.77416992E+00
+222.77500E-03,+474.37187004E+00,-643.21607E-03,-299.93629455E+00
+222.80000E-03,+468.59297543E+00,-614.32160E-03,-303.50303650E+00
+222.82500E-03,+474.37187004E+00,-603.01507E-03,-296.03576658E+00
+222.85000E-03,+474.37187004E+00,-603.01507E-03,-285.91918945E+00
+222.87500E-03,+482.41207123E+00,-562.81406E-03,-286.06986999E+00
+222.90000E-03,+488.19096584E+00,-562.81406E-03,-285.29930117E+00
+222.92500E-03,+486.68342810E+00,-562.81406E-03,-271.39282227E+00
+222.95000E-03,+490.45227242E+00,-554.02009E-03,-271.39282227E+00
+222.97500E-03,+490.45227242E+00,-522.61306E-03,-252.73132321E+00
+223.00000E-03,+490.45227242E+00,-522.61306E-03,-256.19506836E+00
+223.02500E-03,+494.22111673E+00,-503.76884E-03,-256.19506836E+00
+223.05000E-03,+490.45227242E+00,-482.41206E-03,-251.88255308E+00
+223.07500E-03,+498.49247360E+00,-482.41206E-03,-240.20576477E+00
+223.10000E-03,+498.49247360E+00,-471.10552E-03,-240.32592773E+00
+223.12500E-03,+494.22111673E+00,-442.21105E-03,-216.76635742E+00
+223.15000E-03,+498.49247360E+00,-442.21105E-03,-220.30639648E+00
+223.17500E-03,+498.49247360E+00,-403.26633E-03,-200.91247556E+00
+223.20000E-03,+506.53267479E+00,-402.01005E-03,-200.28686523E+00
+223.22500E-03,+506.53267479E+00,-402.01005E-03,-201.80320740E+00
+223.25000E-03,+506.53267479E+00,-393.21608E-03,-202.81410217E+00
+223.27500E-03,+506.53267479E+00,-361.80904E-03,-183.19702148E+00
+223.30000E-03,+506.53267479E+00,-361.80904E-03,-183.19702148E+00
+223.32500E-03,+510.80403166E+00,-321.60804E-03,-183.19702148E+00
+223.35000E-03,+506.53267479E+00,-321.60804E-03,-183.19702148E+00
+223.37500E-03,+514.57287598E+00,-321.60804E-03,-162.81127930E+00
+223.40000E-03,+514.57287598E+00,-321.60804E-03,-165.37475586E+00
+223.42500E-03,+514.57287598E+00,-281.40703E-03,-142.48657227E+00
+223.45000E-03,+514.57287598E+00,-281.40703E-03,-144.74487305E+00
+223.47500E-03,+514.57287598E+00,-281.40703E-03,-144.74487305E+00
+223.50000E-03,+514.57287598E+00,-252.51256E-03,-144.74487305E+00
+223.52500E-03,+522.61307716E+00,-241.20603E-03,-124.05395508E+00
+223.55000E-03,+520.85428314E+00,-241.20603E-03,-125.57983398E+00
+223.57500E-03,+522.61307716E+00,-202.26130E-03,-126.00708008E+00
